optimizer,job,iter,epoch,train_loss,val_loss,val_pp,val_acc,iter_dt,lr
newton stable lr0p005_ridge0p5_clip3,2980785_0,650,0.067,4.921,,,,0.61,0.00427
newton stable lr0p005_ridge0p5_clip3,2980785_0,700,0.072,4.554,,,,0.61,0.00411
newton stable lr0p005_ridge0p5_clip3,2980785_0,750,0.077,4.716,,,,0.611,0.00394
newton stable lr0p005_ridge0p5_clip3,2980785_0,800,0.082,4.632,4.658,105.453,0.286006,0.687,0.00376
newton stable lr0p005_ridge0p5_clip3,2980785_0,850,0.088,4.488,,,,0.611,0.00357
newton stable lr0p005_ridge0p5_clip3,2980785_0,900,0.093,4.68,,,,0.611,0.00337
newton stable lr0p005_ridge0p5_clip3,2980785_0,950,0.098,4.667,,,,0.611,0.00316
newton stable lr0p005_ridge0p5_clip3,2980785_0,1000,0.103,4.515,4.454,85.946,0.304278,0.612,0.00295
newton stable lr0p005_ridge0p5_clip3,2980785_0,1050,0.108,4.534,,,,0.61,0.00274
newton stable lr0p005_ridge0p5_clip3,2980785_0,1100,0.113,4.026,,,,0.605,0.00252
newton stable lr0p005_ridge0p5_clip3,2980785_0,1150,0.118,4.325,,,,0.613,0.0023
newton stable lr0p005_ridge0p5_clip3,2980785_0,1200,0.124,4.29,4.283,72.485,0.321208,0.611,0.00209
newton stable lr0p005_ridge0p5_clip3,2980785_0,1250,0.129,4.091,,,,0.611,0.00188
newton stable lr0p005_ridge0p5_clip3,2980785_0,1300,0.134,4.33,,,,0.611,0.00167
newton stable lr0p005_ridge0p5_clip3,2980785_0,1350,0.139,4.37,,,,0.613,0.00148
newton stable lr0p005_ridge0p5_clip3,2980785_0,1400,0.144,4.151,4.168,64.611,0.331805,0.611,0.00128
newton stable lr0p005_ridge0p5_clip3,2980785_0,1450,0.149,4.212,,,,0.612,0.0011
newton stable lr0p005_ridge0p5_clip3,2980785_0,1500,0.155,4.109,,,,0.61,0.000931
newton stable lr0p005_ridge0p5_clip3,2980785_0,1550,0.16,4.045,,,,0.611,0.000772
newton stable lr0p005_ridge0p5_clip3,2980785_0,1600,0.165,3.952,4.096,60.098,0.340007,0.687,0.000626
newton stable lr0p005_ridge0p5_clip3,2980785_0,1650,0.17,4.2,,,,0.611,0.000495
newton stable lr0p005_ridge0p5_clip3,2980785_0,1700,0.175,4.08,,,,0.611,0.000379
newton stable lr0p005_ridge0p5_clip3,2980785_0,1750,0.18,4.276,,,,0.612,0.00028
newton stable lr0p005_ridge0p5_clip3,2980785_0,1800,0.186,4.206,4.059,57.941,0.343905,0.613,0.000198
newton stable lr0p005_ridge0p5_clip3,2980785_0,1850,0.191,4.01,,,,0.611,0.000133
newton stable lr0p005_ridge0p5_clip3,2980785_0,1900,0.196,4.058,,,,0.611,8.69e-05
newton stable lr0p005_ridge0p5_clip3,2980785_0,1950,0.201,4.091,,,,0.611,5.9e-05
newton stable lr0p005_ridge0p5_clip3,2980785_0,2000,0.206,4.166,4.05,57.423,0.344421,0.611,5e-05
