optimizer,variant,label,iter,val_loss
muon,layerwise,LR+momentum layerwise,1000,3.696
muon,layerwise,LR+momentum layerwise,1100,3.647
muon,layerwise,LR+momentum layerwise,1200,3.607
muon,layerwise,LR+momentum layerwise,1300,3.569
muon,layerwise,LR+momentum layerwise,1400,3.54
muon,layerwise,LR+momentum layerwise,1500,3.517
muon,layerwise,LR+momentum layerwise,1600,3.497
muon,layerwise,LR+momentum layerwise,1700,3.484
muon,layerwise,LR+momentum layerwise,1800,3.474
muon,layerwise,LR+momentum layerwise,1900,3.468
muon,layerwise,LR+momentum layerwise,2000,3.477
muon,global,LR+momentum global,100,5.744
muon,global,LR+momentum global,200,5.219
muon,global,LR+momentum global,300,4.789
muon,global,LR+momentum global,400,4.505
muon,global,LR+momentum global,500,4.234
muon,global,LR+momentum global,600,4.074
muon,global,LR+momentum global,700,3.961
muon,global,LR+momentum global,800,3.883
muon,global,LR+momentum global,900,3.821
muon,global,LR+momentum global,1000,3.762
muon,global,LR+momentum global,1100,3.716
muon,global,LR+momentum global,1200,3.683
muon,global,LR+momentum global,1300,3.642
muon,global,LR+momentum global,1400,3.611
muon,global,LR+momentum global,1500,3.585
muon,global,LR+momentum global,1600,3.556
muon,global,LR+momentum global,1700,3.538
muon,global,LR+momentum global,1800,3.518
muon,global,LR+momentum global,1900,3.501
muon,global,LR+momentum global,2000,3.491
newton,global,LR+momentum global,100,5.746
newton,global,LR+momentum global,200,5.269
newton,global,LR+momentum global,300,4.939
newton,global,LR+momentum global,400,4.727
newton,global,LR+momentum global,500,4.592
newton,global,LR+momentum global,600,4.5
newton,global,LR+momentum global,700,4.425
newton,global,LR+momentum global,800,4.375
newton,global,LR+momentum global,900,4.332
newton,global,LR+momentum global,1000,4.288
newton,global,LR+momentum global,1100,4.254
newton,global,LR+momentum global,1200,4.229
newton,global,LR+momentum global,1300,4.203
newton,global,LR+momentum global,1400,4.188
newton,global,LR+momentum global,1500,4.175
newton,global,LR+momentum global,1600,4.162
newton,global,LR+momentum global,1700,4.155
newton,global,LR+momentum global,1800,4.151
newton,global,LR+momentum global,1900,4.148
newton,global,LR+momentum global,2000,4.158
newton,layerwise,LR+momentum layerwise,100,5.749
newton,layerwise,LR+momentum layerwise,200,5.272
newton,layerwise,LR+momentum layerwise,300,4.916
newton,layerwise,LR+momentum layerwise,400,4.592
newton,layerwise,LR+momentum layerwise,500,4.328
newton,layerwise,LR+momentum layerwise,600,4.121
newton,layerwise,LR+momentum layerwise,700,3.972
newton,layerwise,LR+momentum layerwise,800,3.88
newton,layerwise,LR+momentum layerwise,900,3.812
newton,layerwise,LR+momentum layerwise,1000,3.757
newton,layerwise,LR+momentum layerwise,1100,3.712
newton,layerwise,LR+momentum layerwise,1200,3.679
newton,layerwise,LR+momentum layerwise,1300,3.649
newton,layerwise,LR+momentum layerwise,1400,3.628
newton,layerwise,LR+momentum layerwise,1500,3.611
newton,layerwise,LR+momentum layerwise,1600,3.596
newton,layerwise,LR+momentum layerwise,1700,3.588
newton,layerwise,LR+momentum layerwise,1800,3.582
newton,layerwise,LR+momentum layerwise,1900,3.579
newton,layerwise,LR+momentum layerwise,2000,3.588
